Protein,Cluster_ID,Cluster_Size
SMN1,1,171
SNRPN,1,171
SNRPB,1,171
GPKOW,1,171
SERF1A,1,171
SART3,1,171
PRPF3,1,171
PRPF31,1,171
USP39,1,171
SNRPA1,1,171
SRRT,1,171
RNF113A,1,171
GEMIN4,1,171
SNRNP40,1,171
DHX8,1,171
MAGOH,1,171
MAGOHB,1,171
PPIE,1,171
XAB2,1,171
PRPF19,1,171
UBL5,1,171
SNUPN,1,171
CD2BP2,1,171
MFAP1,1,171
CWC25,1,171
PQBP1,1,171
NDN,1,171
SYF2,1,171
SLU7,1,171
SRRM1,1,171
CDC40,1,171
PPIL1,1,171
STRAP,1,171
FRG1,1,171
BUD13,1,171
SNRPA,1,171
ZRSR2,1,171
AQR,1,171
GPATCH1,1,171
DHX35,1,171
PRPF6,1,171
TXNL4A,1,171
ISY1,1,171
CCDC12,1,171
DDX23,1,171
SNRNP200,1,171
CRNKL1,1,171
DDX46,1,171
PPIL3,1,171
CWC22,1,171
SF3B5,1,171
RBMX2,1,171
CWC27,1,171
SCNM1,1,171
DHX16,1,171
SF3B4,1,171
PLRG1,1,171
CRIPT,1,171
SF3B6,1,171
RBM48,1,171
SRRM2,1,171
PHF5A,1,171
SF3B2,1,171
PRPF4,1,171
SNIP1,1,171
SF3B3,1,171
ARMC7,1,171
PPIL2,1,171
DHX38,1,171
CWC15,1,171
RBM22,1,171
SF3A1,1,171
SF3A2,1,171
SNRNP27,1,171
SNRPC,1,171
SNRPB2,1,171
LSM8,1,171
LSM7,1,171
PRPF38A,1,171
WBP11,1,171
PPWD1,1,171
RBM42,1,171
YJU2,1,171
FAM32A,1,171
CIR1,1,171
WDR70,1,171
CASC3,1,171
TCERG1L,1,171
SF3A3,1,171
LSM2,1,171
LSM5,1,171
CACTIN,1,171
ZMAT2,1,171
LSM4,1,171
LSM6,1,171
WDR25,1,171
PRPF4B,1,171
SART1,1,171
IK,1,171
CWF19L2,1,171
TCERG1,1,171
SDE2,1,171
ISY1-RAB43,1,171
PRKRIP1,1,171
SMU1,1,171
KIN,1,171
NKAP,1,171
CTNNBL1,1,171
TFIP11,1,171
PSME3IP1,1,171
LSM3,1,171
BUD31,1,171
PPIH,1,171
BCAS2,1,171
WBP4,1,171
TGS1,1,171
SNRNP48,1,171
PRPF18,1,171
SRRM3,1,171
USB1,1,171
LSM10,1,171
ZNF830,1,171
LRMDA,1,171
WDR83,1,171
HTATSF1,1,171
C19orf54,1,171
LRTOMT-2,1,171
DAW1,1,171
PDCD7,1,171
ZCRB1,1,171
ZMAT5,1,171
DDX42,1,171
SMNDC1,1,171
RNPC3,1,171
RBM41,1,171
SNRNP35,1,171
SNRNP25,1,171
SMN2,1,171
LUC7L2,1,171
FMC1-LUC7L2,1,171
C6orf52,1,171
CHERP,1,171
LENG1,1,171
FAM50A,1,171
M0R3G1_HUMAN,1,171
NCBP2L,1,171
C9orf78,1,171
PUF60,1,171
U2SURP,1,171
TXNL4B,1,171
LUC7L,1,171
PHAX,1,171
GEMIN7,1,171
GEMIN6,1,171
GEMIN5,1,171
GEMIN2,1,171
DDX20,1,171
GEMIN8,1,171
DOCK9,1,171
BANP,1,171
SETMAR,1,171
GPATCH11,1,171
SFSWAP,1,171
MKRN3,1,171
NPAP1,1,171
EID1,1,171
IGHMBP2,1,171
SNURF,1,171
MAGEL2,1,171
TOE1,1,171
TCEANC,1,171
HSD11B2,2,165
CYP11B2,2,165
HSD11B1,2,165
CBR1,2,165
CBR3,2,165
HPGDS,2,165
CYP19A1,2,165
CYP26B1,2,165
CYP2C9,2,165
CYP4A22,2,165
CYP3A7,2,165
CYP3A5,2,165
CYP2C8,2,165
CYP2S1,2,165
RDH10,2,165
ALDH1A1,2,165
CYP26A1,2,165
CYP26C1,2,165
ENSP00000480571,2,165
CYP1A2,2,165
CYP3A4,2,165
CYP1A1,2,165
AOX1,2,165
CYP2C18,2,165
CYP2A6,2,165
UGT2B7,2,165
CYP2B6,2,165
CYP4A11,2,165
UGT2A2,2,165
ALDH1A3,2,165
ALDH1A2,2,165
UGT1A6,2,165
FMO2,2,165
GSTA3,2,165
CYP4F3,2,165
CYP4F2,2,165
GSTM2,2,165
ALOX12,2,165
UGT2A3,2,165
GSTM5,2,165
ABCB1,2,165
UGT1A9,2,165
CYP4F8,2,165
UGT1A3,2,165
UGT1A8,2,165
SLC35A2,2,165
CYP2E1,2,165
MGST2,2,165
GSTA4,2,165
GSTO1,2,165
ALOX15B,2,165
GSTO2,2,165
FMO4,2,165
GSTT2B,2,165
GSTM1,2,165
ALOX15,2,165
UGT1A1,2,165
EPHX1,2,165
UGT1A5,2,165
UGT2B17,2,165
CYP2C19,2,165
GSTA1,2,165
UGT2B28,2,165
FMO3,2,165
MGST1,2,165
GSTA2,2,165
UGT2B4,2,165
MGST3,2,165
UGT2B11,2,165
GSTA5,2,165
CYP2U1,2,165
CYP2D6,2,165
UGT1A4,2,165
UGT2B15,2,165
GSTP1,2,165
GSTM4,2,165
UGT1A10,2,165
GSTM3,2,165
CYP2J2,2,165
UGT2B10,2,165
TPMT,2,165
ALOX12B,2,165
FMO1,2,165
UGT1A7,2,165
AKR1C3,2,165
HSD3B1,2,165
HSD3B2,2,165
CYP17A1,2,165
HSD17B2,2,165
HSD17B1,2,165
CYP2A13,2,165
SULT1E1,2,165
HSD17B6,2,165
HSD17B8,2,165
GPX6,2,165
GPX7,2,165
GPX5,2,165
GPX8,2,165
GPX2,2,165
GPX3,2,165
RDH5,2,165
LRAT,2,165
RGR,2,165
PNPLA4,2,165
RDH11,2,165
CYP27C1,2,165
RLBP1,2,165
RETSAT,2,165
DHRS3,2,165
BCO1,2,165
AWAT2,2,165
ADH1A,2,165
RBP1,2,165
ADH5,2,165
SDR16C5,2,165
DHRS4,2,165
ADH1C,2,165
DHRS9,2,165
ADH1B,2,165
RDH16,2,165
ADH4,2,165
ADH6,2,165
RDH8,2,165
ADH7,2,165
RBP2,2,165
B3GAT2,2,165
CYP1B1,2,165
SULT2A1,2,165
CES1,2,165
AKR1C1,2,165
HSD11B1L,2,165
CES2,2,165
CYP2A7,2,165
AKR1C2,2,165
MIOX,2,165
AKR1D1,2,165
SRD5A3,2,165
SRD5A1,2,165
UGDH,2,165
BLVRA,2,165
AKR1C4,2,165
SRD5A2,2,165
HSD17B3,2,165
CYP11A1,2,165
STAR,2,165
CYP11B1,2,165
CYP21A2,2,165
DHRS11,2,165
GSR,2,165
GGT7,2,165
GPX4,2,165
GSTK1,2,165
GGT1,2,165
CHAC2,2,165
GGT6,2,165
GSS,2,165
CHAC1,2,165
GGT5,2,165
TXNDC12,2,165
CBR4,2,165
HTD2,2,165
PRDX6,2,165
GSTZ1,2,165
CYP2F1,2,165
GGTLC1,2,165
ADSL,3,135
GDA,3,135
AK1,3,135
NT5C1A,3,135
ATIC,3,135
PDE1B,3,135
NT5C,3,135
GMPR,3,135
PPAT,3,135
PDE8B,3,135
AK7,3,135
PDE3B,3,135
PDE11A,3,135
DCK,3,135
AK8,3,135
HPRT1,3,135
ENTPD3,3,135
PDE7B,3,135
PFAS,3,135
IMPDH2,3,135
ADSS1,3,135
PDE2A,3,135
NT5C2,3,135
PDE4B,3,135
IMPDH1,3,135
PDE4D,3,135
AK5,3,135
PDE4C-2,3,135
PDE3A,3,135
NT5C1B,3,135
PNP,3,135
ADSS2,3,135
PDE10A,3,135
